table_name,feature_name,data_type,description,calculation,data_source,granularity,used_for_modeling,nullable
category_features,category_buy_count,int64,Category purchase count.,sum(behavior_name = 'buy'),data/processed/user_behavior_clean.parquet (CSV fallback),category,True,False
category_features,category_unique_user_count,int64,Distinct users interacting with the category.,nunique(user_id),data/processed/user_behavior_clean.parquet (CSV fallback),category,True,False
category_features,category_unique_item_count,int64,Distinct items in the category.,nunique(item_id),data/processed/user_behavior_clean.parquet (CSV fallback),category,True,False
category_features,category_unique_buyer_count,int64,Distinct users purchasing in the category.,nunique(user_id where behavior_name = 'buy'),data/processed/user_behavior_clean.parquet (CSV fallback),category,True,False
category_features,category_fav_to_pv_rate,float64,Category favorites per page view.,category_fav_count / category_pv_count; 0 when denominator is 0,data/processed/user_behavior_clean.parquet (CSV fallback),category,True,False
category_features,category_cart_to_pv_rate,float64,Category add-to-cart actions per page view.,category_cart_count / category_pv_count; 0 when denominator is 0,data/processed/user_behavior_clean.parquet (CSV fallback),category,True,False
category_features,category_buy_to_pv_rate,float64,Category purchases per page view.,category_buy_count / category_pv_count; 0 when denominator is 0,data/processed/user_behavior_clean.parquet (CSV fallback),category,True,False
time_features,behavior_date,date32,Calendar date.,grouping key: behavior_date,data/processed/user_behavior_clean.parquet (CSV fallback),date-hour,False,False
time_features,behavior_hour,uint8,"Hour of day, 0 through 23.",grouping key: behavior_hour,data/processed/user_behavior_clean.parquet (CSV fallback),date-hour,True,False
time_features,weekday,uint8,Monday=0 through Sunday=6.,unique weekday derived from behavior_date,data/processed/user_behavior_clean.parquet (CSV fallback),date-hour,True,False
time_features,time_total_count,int64,All behaviors during the date-hour.,count(*),data/processed/user_behavior_clean.parquet (CSV fallback),date-hour,True,False
time_features,time_pv_count,int64,Page views during the date-hour.,sum(behavior_name = 'pv'),data/processed/user_behavior_clean.parquet (CSV fallback),date-hour,True,False
time_features,time_fav_count,int64,Favorites during the date-hour.,sum(behavior_name = 'fav'),data/processed/user_behavior_clean.parquet (CSV fallback),date-hour,True,False
time_features,time_cart_count,int64,Add-to-cart actions during the date-hour.,sum(behavior_name = 'cart'),data/processed/user_behavior_clean.parquet (CSV fallback),date-hour,True,False
time_features,time_buy_count,int64,Purchases during the date-hour.,sum(behavior_name = 'buy'),data/processed/user_behavior_clean.parquet (CSV fallback),date-hour,True,False
time_features,time_unique_user_count,int64,Distinct active users during the date-hour.,nunique(user_id),data/processed/user_behavior_clean.parquet (CSV fallback),date-hour,True,False
time_features,time_unique_item_count,int64,Distinct active items during the date-hour.,nunique(item_id),data/processed/user_behavior_clean.parquet (CSV fallback),date-hour,True,False
time_features,time_buy_to_pv_rate,float64,Purchases per page view during the date-hour.,time_buy_count / time_pv_count; 0 when denominator is 0,data/processed/user_behavior_clean.parquet (CSV fallback),date-hour,True,False
